"","x"
"1",0
"2",0.0023
"3",0.0072
"4",0.0143
"5",0.0268
"6",0.0396
"7",0.0618
"8",0.0756
"9",0.0891
"10",0.1215
"11",0.1424
"12",0.1613
"13",0.1955
"14",0.2281
"15",0.2515
"16",0.2822
"17",0.3177
"18",0.3513
"19",0.3809
"20",0.4162
"21",0.4422
"22",0.488
"23",0.5122
"24",0.5381
"25",0.5713
"26",0.6068
"27",0.63
"28",0.6568
"29",0.6789
"30",0.7068
"31",0.7398
"32",0.7511
"33",0.7712
"34",0.7955
"35",0.8132
"36",0.8325
"37",0.8465
"38",0.8617
"39",0.8771
"40",0.8884
"41",0.9064
"42",0.9164
"43",0.9226
"44",0.9316
"45",0.9457
"46",0.9489
"47",0.9595
"48",0.9602
"49",0.9654
"50",0.9702
"51",0.9781
"52",0.9764
"53",0.9816
"54",0.983
"55",0.9864
"56",0.987
"57",0.9897
"58",0.9927
"59",0.9936
"60",0.9934
"61",0.9954
"62",0.9964
"63",0.9962
"64",0.998
"65",0.9975
"66",0.9992
"67",0.9975
"68",0.9989
"69",0.9993
"70",0.9991
"71",0.9993
"72",0.9993
"73",0.9995
"74",0.9998
"75",0.9999
"76",0.9998
"77",0.9999
"78",1
"79",0.9998
"80",0.9999
"81",0.9999
"82",0.9999
"83",1
"84",1
"85",1
"86",0.9999
"87",1
"88",1
"89",1
"90",1
"91",1
"92",1
"93",1
"94",1
"95",1
"96",1
"97",1
"98",1
"99",1
"100",1
"101",1
"102",1
"103",1
"104",1
"105",1
"106",1
"107",1
"108",1
"109",1
"110",1
"111",1
"112",1
"113",1
"114",1
"115",1
"116",1
"117",1
"118",1
"119",1
"120",1
"121",1
